,Nation,Playername,Truns,Average,StrikeRate,score
0,England,JE Root,2404,44.51,55.71,284.91
1,England,AN Cook,2026,36.83,47.55,239.43
2,England,JM Bairstow,1845,34.81,55.28,219.31
3,England,MM Ali,1449,34.50,52.90,179.4
4,England,BA Stokes,1350,34.61,50.61,169.61
5,England,DJ Malan,724,27.84,41.08,100.24000000000001
6,England,JC Buttler,664,44.26,61.02,110.66
7,England,CR Woakes,662,28.78,52.04,94.98
8,England,MD Stoneman,526,27.68,44.27,80.28
9,England,KK Jennings,486,22.09,42.37,70.69
10,England,SCJ Broad,457,11.71,60.69,57.410000000000004
11,England,JM Vince,418,27.86,47.07,69.66
12,England,AU Rashid,311,18.29,42.60,49.39
13,England,SM Curran,292,36.50,61.60,65.7
14,England,GS Ballance,232,19.33,42.41,42.53
15,England,H Hameed,219,43.80,34.21,65.69999999999999
16,England,T Westley,193,24.12,42.60,43.42
17,England,DM Bess,111,37.00,51.62,48.1
18,England,BM Duckett,110,15.71,57.89,26.71
19,England,MA Wood,106,13.25,70.19,23.85
20,England,JM Anderson,105,6.56,35.47,17.06
21,England,C Overton,98,24.50,53.26,34.3
22,England,AD Hales,89,22.25,38.03,31.15
23,England,LA Dawson,84,21.00,42.63,29.4
24,England,TS Roland-Jones,82,20.50,69.49,28.7
25,England,TK Curran,66,33.00,55.00,39.6
26,England,JT Ball,60,10.00,52.17,16.0
27,England,OJ Pope,54,18.00,54.54,23.4
28,England,ZS Ansari,49,9.80,36.02,14.700000000000001
29,England,ST Finn,39,13.00,44.31,16.9
30,England,MJ Leach,30,30.00,40.54,33.0
31,England,MS Crane,6,3.00,54.54,3.6
32,England,GJ Batty,5,1.66,10.63,2.16
33,Australia,SPD Smith,2262,64.62,52.59,290.82
34,Australia,DA Warner,1856,46.40,69.43,232.0
35,Australia,UT Khawaja,1109,38.24,49.42,149.14000000000001
36,Australia,SE Marsh,974,37.46,40.00,134.86
37,Australia,PSP Handscomb,829,43.63,51.81,126.53
38,Australia,MR Marsh,677,32.23,52.27,99.93
39,Australia,MT Renshaw,636,33.47,42.48,97.07
40,Australia,MA Starc,460,17.69,72.10,63.69
41,Australia,TD Paine,407,45.22,51.00,85.92
42,Australia,CT Bancroft,402,30.92,45.68,71.12
43,Australia,PJ Cummins,350,20.58,41.96,55.58
44,Australia,NM Lyon,267,7.85,61.52,34.55
45,Australia,MS Wade,263,20.23,43.47,46.53
46,Australia,GJ Maxwell,259,37.00,56.79,62.9
47,Australia,JR Hazlewood,160,8.88,38.74,24.880000000000003
48,Australia,PM Nevill,132,18.85,40.00,32.05
49,Australia,AC Voges,89,11.12,35.17,20.02
50,Australia,AC Agar,65,32.50,44.82,39.0
51,Australia,HWR Cartwright,55,27.50,44.00,33.0
52,Australia,SNJ O'Keefe,53,8.83,26.23,14.129999999999999
53,Australia,JA Burns,49,8.16,46.22,13.06
54,Australia,PM Siddle,31,31.00,54.38,34.1
55,Australia,JM Bird,29,14.50,43.93,17.4
56,Australia,NJ Maddinson,27,6.75,34.61,9.45
57,Australia,AJ Finch,13,0,34.21,1.3
58,Australia,JM Mennie,10,5.00,41.66,6.0
59,Australia,MC Henriques,8,4.00,28.57,4.8
60,Australia,CJ Ferguson,4,2.00,17.39,2.4
61,Australia,JM Holland,1,1.00,5.26,1.1
62,Australia,CJ Sayers,0,0.00,0.00,0.0
63,Australia,TM Head,0,0,0,0.0
64,Australia,M Labuschagne,0,0,0,0.0
65,SouthAfrica,D Elgar,1994,44.31,45.27,243.71
66,SouthAfrica,HM Amla,1664,34.66,50.71,201.06
67,SouthAfrica,F du Plessis,1620,43.78,54.16,205.78
68,SouthAfrica,Q de Kock,1518,34.50,72.01,186.3
69,SouthAfrica,T Bavuma,1105,32.50,47.02,143.0
70,SouthAfrica,AK Markram,1040,47.27,63.18,151.27
71,SouthAfrica,VD Philander,760,25.33,49.70,101.33
72,SouthAfrica,AB de Villiers,691,53.15,65.49,122.25
73,SouthAfrica,JP Duminy,680,34.00,55.82,102.0
74,SouthAfrica,SC Cook,492,28.94,44.12,78.14
75,SouthAfrica,KA Maharaj,403,14.92,69.96,55.22
76,SouthAfrica,K Rabada,375,12.50,45.45,50.0
77,SouthAfrica,TB de Bruyn,234,21.27,45.79,44.67
78,SouthAfrica,M Morkel,169,12.07,60.14,28.97
79,SouthAfrica,HG Kuhn,113,14.12,38.04,25.42
80,SouthAfrica,CH Morris,75,18.75,40.54,26.25
81,SouthAfrica,DW Steyn,51,8.50,53.12,13.6
82,SouthAfrica,S van Zyl,40,20.00,33.33,24.0
83,SouthAfrica,KJ Abbott,36,7.20,38.70,10.8
84,SouthAfrica,WD Parnell,23,23.00,48.93,25.3
85,SouthAfrica,T Shamsi,20,20.00,41.66,22.0
86,SouthAfrica,AL Phehlukwayo,19,9.50,48.71,11.4
87,SouthAfrica,L Ngidi,15,3.75,42.85,5.25
88,SouthAfrica,DL Piedt,9,9.00,20.93,9.9
89,SouthAfrica,D Olivier,7,2.33,18.42,3.0300000000000002
90,Westindies,KC Brathwaite,1513,40.89,40.09,192.19
91,Westindies,RL Chase,1284,34.70,47.55,163.10000000000002
92,Westindies,SD Hope,1066,35.53,42.47,142.13
93,Westindies,KOA Powell,893,29.76,52.84,119.06
94,Westindies,SO Dowrich,892,27.03,44.91,116.23
95,Westindies,JO Holder,885,32.77,54.02,121.27000000000001
96,Westindies,J Blackwood,524,29.11,68.14,81.50999999999999
97,Westindies,DM Bravo,391,35.54,42.82,74.64
98,Westindies,D Bishoo,372,16.17,33.84,53.370000000000005
99,Westindies,SO Hetmyer,343,24.50,71.16,58.8
100,Westindies,MN Samuels,244,24.40,44.28,48.8
101,Westindies,KAJ Roach,226,17.38,48.91,39.980000000000004
102,Westindies,DS Smith,167,18.55,39.57,35.25
103,Westindies,LR Johnson,128,14.22,40.00,27.020000000000003
104,Westindies,ST Gabriel,124,5.63,39.87,18.03
105,Westindies,KA Hope,101,11.22,40.40,21.32
106,Westindies,ML Cummins,95,6.78,37.40,16.28
107,Westindies,KMA Paul,75,18.75,75.00,26.25
108,Westindies,VA Singh,63,10.50,31.65,16.8
109,Westindies,RA Reifer,52,52.00,26.26,57.2
110,Westindies,AS Joseph,41,3.72,29.28,7.82
111,Westindies,SW Ambris,37,7.40,51.38,11.100000000000001
112,Westindies,R Chandrika,6,3.00,28.57,3.6
113,Westindies,SH Lewis,4,2.00,22.22,2.4
114,Newzealand,KS Williamson,1301,54.20,59.21,184.3
115,Newzealand,TWM Latham,1112,38.34,47.19,149.54000000000002
116,Newzealand,LRPL Taylor,1049,58.27,63.42,163.17000000000002
117,Newzealand,HM Nicholls,774,38.70,51.25,116.10000000000001
118,Newzealand,BJ Watling,745,41.38,42.09,115.88
119,Newzealand,JA Raval,648,38.11,42.77,102.91
120,Newzealand,C de Grandhomme,537,38.35,78.73,92.05000000000001
121,Newzealand,MJ Santner,405,25.31,40.95,65.81
122,Newzealand,MJ Guptill,312,26.00,52.88,57.2
123,Newzealand,TG Southee,250,22.72,85.91,47.72
124,Newzealand,N Wagner,205,14.64,43.89,35.14
125,Newzealand,L Ronchi,200,33.33,58.99,53.33
126,Newzealand,TA Blundell,136,68.00,56.90,81.6
127,Newzealand,JS Patel,105,15.00,72.91,25.5
128,Newzealand,TA Boult,103,17.16,41.36,27.46
129,Newzealand,JDS Neesham,97,19.40,56.39,29.099999999999998
130,Newzealand,IS Sodhi,85,21.25,35.12,29.75
131,Newzealand,MJ Henry,64,10.66,67.36,17.060000000000002
132,Newzealand,DAJ Bracewell,48,24.00,66.66,28.8
133,Newzealand,NT Broom,32,10.66,44.44,13.86
134,Newzealand,TD Astle,18,9.00,45.00,10.8
135,Newzealand,MD Craig,3,1.50,30.00,1.8
136,INDIA,V Kohli,3092,67.21,63.79,376.40999999999997
137,INDIA,CA Pujara,2459,53.45,45.59,299.35
138,INDIA,KL Rahul,1555,40.92,60.67,196.42000000000002
139,INDIA,AM Rahane,1550,37.80,47.14,192.8
140,INDIA,M Vijay,1296,37.02,45.90,166.62
141,INDIA,R Ashwin,979,25.10,52.86,123.0
142,INDIA,S Dhawan,923,38.45,79.43,130.75
143,INDIA,RA Jadeja,922,46.10,65.81,138.3
144,INDIA,WP Saha,757,37.85,47.28,113.55000000000001
145,INDIA,RG Sharma,583,58.30,61.36,116.6
146,INDIA,HH Pandya,532,31.29,73.88,84.49000000000001
147,INDIA,KK Nair,374,62.33,73.91,99.72999999999999
148,INDIA,RR Pant,254,36.28,75.59,61.68
149,INDIA,PA Patel,251,35.85,62.75,60.95
150,INDIA,Mohammed Shami,244,10.60,85.91,35.0
151,INDIA,J Yadav,228,45.60,44.27,68.4
152,INDIA,UT Yadav,166,16.60,54.42,33.2
153,INDIA,B Kumar,159,15.90,41.62,31.8
154,INDIA,PP Shaw,134,134.00,87.01,147.4
155,INDIA,A Mukund,109,27.25,59.89,38.15
156,INDIA,G Gambhir,108,27.00,57.75,37.8
157,INDIA,I Sharma,72,4.80,29.75,12.0
158,INDIA,GH Vihari,56,28.00,43.07,33.6
159,INDIA,Kuldeep Yadav,45,9.00,32.14,13.5
160,INDIA,KD Karthik,25,5.00,31.25,7.5
161,INDIA,A Mishra,21,10.50,47.72,12.6
162,INDIA,JJ Bumrah,10,1.42,11.76,2.42
163,Pakistan,Azhar Ali,1754,51.58,43.70,226.98000000000002
164,Pakistan,Asad Shafiq,1086,32.90,50.25,141.5
165,Pakistan,Younis Khan,896,42.66,49.91,132.26
166,Pakistan,Sarfraz Ahmed,883,30.44,67.04,118.74
167,Pakistan,Sami Aslam,711,33.85,39.39,104.94999999999999
168,Pakistan,Misbah-ul-Haq,669,35.21,45.08,102.11000000000001
169,Pakistan,Babar Azam,620,26.95,46.09,88.95
170,Pakistan,Haris Sohail,438,43.80,48.72,87.6
171,Pakistan,Mohammad Amir,373,14.34,46.91,51.64
172,Pakistan,Yasir Shah,260,13.00,43.84,39.0
173,Pakistan,Sohail Khan,241,26.77,80.87,50.870000000000005
174,Pakistan,Imam-ul-Haq,213,42.60,46.81,63.900000000000006
175,Pakistan,Shadab Khan,188,31.33,62.66,50.129999999999995
176,Pakistan,Shan Masood,133,22.16,29.88,35.46
177,Pakistan,Mohammad Hafeez,128,42.66,56.14,55.459999999999994
178,Pakistan,Faheem Ashraf,123,30.75,69.49,43.05
179,Pakistan,Ahmed Shehzad,121,30.25,39.03,42.35
180,Pakistan,Wahab Riaz,99,6.60,41.94,16.5
181,Pakistan,Hasan Ali,93,18.60,116.25,27.900000000000002
182,Pakistan,Mohammad Nawaz (3),50,12.50,31.84,17.5
183,Pakistan,Sharjeel Khan,44,22.00,97.77,26.4
184,Pakistan,Usman Salahuddin,37,18.50,30.83,22.2
185,Pakistan,Rahat Ali,26,6.50,32.91,9.1
186,Pakistan,Mohammad Abbas,23,3.83,10.90,6.13
187,Pakistan,Zulfiqar Babar,16,16.00,100.00,17.6
188,Pakistan,Mohammad Rizwan,13,13.00,38.23,14.3
189,Pakistan,Bilal Asif,12,12.00,54.54,13.2
190,Pakistan,Imran Khan,6,1.50,35.29,2.1
191,Pakistan,Iftikhar Ahmed,4,4.00,100.00,4.4
192,Srilanka,FDM Karunaratne,1786,42.52,48.01,221.12
193,Srilanka,LD Chandimal,1578,46.41,44.12,204.21
194,Srilanka,BKG Mendis,1537,35.74,58.33,189.44
195,Srilanka,DM de Silva,1126,38.82,57.41,151.42
196,Srilanka,N Dickwella,1061,33.15,70.92,139.25
197,Srilanka,AD Mathews,909,30.30,48.94,121.2
198,Srilanka,MDK Perera,825,25.78,52.88,108.28
199,Srilanka,WU Tharanga,637,35.38,57.80,99.08000000000001
200,Srilanka,HMRKB Herath,481,15.51,49.28,63.61
201,Srilanka,ARS Silva,461,38.41,43.53,84.50999999999999
202,Srilanka,DAS Gunaratne,455,56.87,52.84,102.37
203,Srilanka,JK Silva,450,25.00,38.62,70.0
204,Srilanka,MDKJ Perera,422,28.13,73.51,70.33
205,Srilanka,RAS Lakmal,412,14.20,55.67,55.400000000000006
206,Srilanka,MD Gunathilaka,259,25.90,54.87,51.8
207,Srilanka,S Samarawickrama,125,15.62,70.62,28.119999999999997
208,Srilanka,HDRL Thirimanne,97,16.16,35.40,25.86
209,Srilanka,A Dananjaya,88,22.00,55.69,30.8
210,Srilanka,PADLR Sandakan,80,10.00,38.64,18.0
211,Srilanka,CBRLS Kumara,44,4.00,37.60,8.4
212,Srilanka,PM Pushpakumara,42,14.00,30.21,18.2
213,Srilanka,N Pradeep,32,2.66,32.65,5.86
214,Srilanka,MD Shanaka,25,8.33,58.13,10.83
215,Srilanka,ML Udawatte,23,5.75,31.94,8.05
216,Srilanka,PVD Chameera,19,9.50,30.15,11.4
217,Srilanka,PLS Gamage,6,1.50,6.06,2.1
218,Srilanka,MVT Fernando,4,2.00,12.50,2.4
219,Srilanka,CAK Rajitha,4,1.33,8.00,1.73
